,,,,,,,,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago,Empenhado,Liquidado,Pago
Categoria ,Ficha,Elemento,Fonte,Orçado,Creditado,Anulado,Saldo,Janeiro,Janeiro,Janeiro,Fevereiro,Fevereiro,Fevereiro,Março,Março,Março,Abril ,Abril ,Abril ,Maio,Maio,Maio,Junho,Junho,Junho,Julho,Julho,Julho,Agosto,Agosto,Agosto,Setembro,Setembro,Setembro,Outubro,Outubro,Outubro,Novembro,Novembro,Novembro,Dezembro,Dezembro,Dezembro
Atenção Primária ,232,Folha de Pagamento,1600,"R$ 5.000,00",,,"R$ 5.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atenção Primária ,233,Folha de Pagamento,1600,"R$ 5.000,00",,,"R$ 5.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atenção Primária ,234,Folha de Pagamento,1600,"R$ 50.400,00",,,"R$ 50.400,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atenção Primária ,235,Materiais de Consumo,1600,"R$ 47.558,82",,,"R$ 47.558,82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atenção Primária ,236,Serviços de Terceiro PF ,1600,"R$ 1.000,00",,,"R$ 1.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atenção Primária ,237,Serviços de Terceiros PJ,1600,"R$ 40.000,00",,,"R$ 40.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atenção Primária ,238,Serviços de Tecnologia da Informação e Comunicação,1600,"R$ 8.000,00",,,"R$ 8.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atenção Primária ,239,Equipamentos e Materiais Permanentes ,1600,"R$ 15.000,00",,,"R$ 15.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atenção Primária ,240,Materiais de Consumo,1600,"R$ 15.000,00",,,"R$ 15.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atenção Primária ,241,Equipamentos e Materiais Permanentes ,1600,"R$ 5.516,00",,,"R$ 5.516,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAC,242,Serviços de Terceiros PJ,1600,"R$ 73.700,00",,,"R$ 73.700,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farmácia,243,Materiais de Consumo,1600,"R$ 35.117,64",,,"R$ 35.117,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farmácia,244,Materiais de Consumo,1621,"R$ 8.378,00",,,"R$ 8.378,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vigilância ,245,Materiais de Consumo,1600,"R$ 7.080,64",,,"R$ 7.080,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vigilância ,246,Equipamentos e Materiais Permanentes ,1600,"R$ 7.080,64",,,"R$ 7.080,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vigilância ,247,Folha de Pagamento,1604,"R$ 53.000,00",,,"R$ 53.000,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vigilância ,248,Materiais de Consumo,1600,"R$ 15.667,93",,,"R$ 15.667,93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vigilância ,249,Equipamentos e Materiais Permanentes ,1600,"R$ 15.667,93",,,"R$ 15.667,93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"R$ 0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
